VendorName,TotalPurchaseDollars,PurchaseContribution
DIAGEO NORTH AMERICA INC,154753.55999999834,0.05035278262644278
SAZERAC NORTH AMERICA INC.,154736.18000000334,0.05034712762657205
PERNOD RICARD USA,154575.33000000118,0.050294791220963204
PROXIMO SPIRITS INC.,154096.58000000103,0.05013901842528459
"STOLI GROUP,(USA) LLC",154042.9400000014,0.050121565364689
JIM BEAM BRANDS COMPANY,153722.79999999926,0.050017400136889795
JIM BEAM BRANDS COMPANY,153709.91999999934,0.05001320931995335
ULTRA BEVERAGE COMPANY LLP,151696.94999999943,0.04935824124785505
MARTIGNETTI COMPANIES,151202.75999999978,0.04919744467783661
SOUTHERN WINE & SPIRITS NE,151092.89999999988,0.04916169909176197
STATE WINE & SPIRITS,150898.95000000187,0.04909859280722611
MARTIGNETTI COMPANIES,150891.30000000005,0.04909610369623451
MARTIGNETTI COMPANIES,150654.7399999991,0.049019133226164815
PERNOD RICARD USA,150511.20000000176,0.0489724290442509
JIM BEAM BRANDS COMPANY,150504.64000000185,0.0489702945909044
E & J GALLO WINERY,150380.72999999914,0.04892997750032904
E & J GALLO WINERY,150271.16000000018,0.048894326272710585
TREASURY WINE ESTATES,150139.98999999822,0.04885164696699891
DIAGEO NORTH AMERICA INC,149927.40000000029,0.048782475711368664
DIAGEO NORTH AMERICA INC,149769.3199999987,0.04873104059170054
CAMPARI AMERICA,149010.5699999996,0.048484163080011834
DIAGEO NORTH AMERICA INC,148870.48000000074,0.04843858143834827
CASTLE BRANDS CORP.,148822.95999999822,0.048423119666544535
DIAGEO NORTH AMERICA INC,148657.79999999847,0.04836938089905789
WINE GROUP INC,148438.1699999981,0.04829791901056715
MARTIGNETTI COMPANIES,148352.5800000012,0.048270070251127686
PERNOD RICARD USA,147353.64999999842,0.04794504441553998
M S WALKER INC,147185.92999999283,0.0478904726906479
DIAGEO NORTH AMERICA INC,146712.71999999986,0.047736502466852695
DIAGEO NORTH AMERICA INC,146661.11999999377,0.04771971316918593
JIM BEAM BRANDS COMPANY,146302.54000000056,0.04760304056537735
CAMPARI AMERICA,146242.9000000014,0.047583635260867396
REMY COINTREAU USA INC,146029.5,0.04751420045230756
DIAGEO NORTH AMERICA INC,143919.1699999988,0.04682755396895607
CONSTELLATION BRANDS INC,143541.17999999976,0.04670456585608216
JIM BEAM BRANDS COMPANY,143356.01999999944,0.0466443196088803
DIAGEO NORTH AMERICA INC,142824.81000000078,0.04647147769390964
M S WALKER INC,142129.8900000009,0.0462453688037312
CAMPARI AMERICA,141855.5599999984,0.04615610895821917
ULTRA BEVERAGE COMPANY LLP,141554.15999999995,0.046058041238914146
E & J GALLO WINERY,141403.2000000031,0.04600892278202612
SAZERAC CO INC,141056.4000000004,0.0458960830837666
WILLIAM GRANT & SONS INC,141047.9899999999,0.04589334668854627
BACARDI USA INC,140898.11999999918,0.04584458288930145
M S WALKER INC,140802.5,0.04581347062878415
CONSTELLATION BRANDS INC,140584.40000000145,0.04574250656249221
KOBRAND CORPORATION,140564.1599999995,0.045735920993019964
SOUTHERN WINE & SPIRITS NE,140352.84000000058,0.04566716296235129
MARTIGNETTI COMPANIES,139712.80000000112,0.04545891059651104
MARTIGNETTI COMPANIES,139692.8599999992,0.045452422639234526
E & J GALLO WINERY,139663.9999999987,0.04544303234600557
